time,hip,thigh,calf
1.75197640229521E+018,-0.158868219065666,1.21541855934143,-2.73637339582443
1.75197640229842E+018,-0.158804646348953,1.21521230941772,-2.7358786485672
1.75197640230141E+018,-0.15874107363224,1.21500605949402,-2.73538390130997
1.7519764023044E+018,-0.158677500915527,1.21479980957031,-2.73488915405273
1.75197640230696E+018,-0.158613928198814,1.21459355964661,-2.7343944067955
1.75197640230927E+018,-0.158550355482101,1.2143873097229,-2.73389965953827
1.75197640231143E+018,-0.158486782765388,1.21418105979919,-2.73340491228104
1.75197640231353E+018,-0.158423210048676,1.21397480987549,-2.7329101650238
1.75197640231562E+018,-0.158359637331963,1.21376855995178,-2.73241541776657
1.75197640231764E+018,-0.15829606461525,1.21356231002808,-2.73192067050934
1.7519764023197E+018,-0.158232491898537,1.21335606010437,-2.73142592325211
1.75197640232169E+018,-0.158168919181824,1.21314981018066,-2.73093117599487
1.75197640232378E+018,-0.158105346465111,1.21294356025696,-2.73043642873764
1.75197640232592E+018,-0.158041773748398,1.21273731033325,-2.72994168148041
1.75197640232794E+018,-0.157978201031685,1.21253106040955,-2.72944693422317
1.75197640233005E+018,-0.157914628314972,1.21232481048584,-2.72895218696594
1.75197640233217E+018,-0.157851055598259,1.21211856056213,-2.72845743970871
1.75197640233435E+018,-0.157787482881546,1.21191231063843,-2.72796269245148
1.75197640233647E+018,-0.157723910164833,1.21170606071472,-2.72746794519424
1.75197640233852E+018,-0.15766033744812,1.21149981079102,-2.72697319793701
1.75197640234058E+018,-0.157596764731407,1.21129356086731,-2.72647845067978
1.75197640234271E+018,-0.157533192014694,1.2110873109436,-2.72598370342255
1.75197640234473E+018,-0.157469619297981,1.2108810610199,-2.72548895616531
1.75197640234686E+018,-0.157406046581268,1.21067481109619,-2.72499420890808
1.75197640234903E+018,-0.157342473864555,1.21046856117249,-2.72449946165085
1.75197640235118E+018,-0.157278901147842,1.21026231124878,-2.72400471439362
1.75197640235335E+018,-0.157215328431129,1.21005606132507,-2.72350996713638
1.75197640235539E+018,-0.157151755714416,1.20984981140137,-2.72301521987915
1.75197640235746E+018,-0.157088182997704,1.20964356147766,-2.72252047262192
1.75197640235952E+018,-0.157024610280991,1.20943731155396,-2.72202572536468
1.75197640236155E+018,-0.156961037564278,1.20923106163025,-2.72153097810745
1.75197640236359E+018,-0.156897464847565,1.20902481170654,-2.72103623085022
1.75197640236565E+018,-0.156833892130852,1.20881856178284,-2.72054148359299
1.7519764023678E+018,-0.156770319414139,1.20861231185913,-2.72004673633575
1.75197640236996E+018,-0.156706746697426,1.20840606193542,-2.71955198907852
1.75197640237212E+018,-0.156643173980713,1.20819981201172,-2.71905724182129
1.75197640237424E+018,-0.156579601264,1.20799356208801,-2.71856249456406
1.75197640237641E+018,-0.156516028547287,1.20778731216431,-2.71806774730682
1.75197640237844E+018,-0.156452455830574,1.2075810622406,-2.71757300004959
1.75197640238052E+018,-0.156388883113861,1.20737481231689,-2.71707825279236
1.75197640238257E+018,-0.156325310397148,1.20716856239319,-2.71658350553513
1.75197640238463E+018,-0.156261737680435,1.20696231246948,-2.71608875827789
1.75197640238678E+018,-0.156198164963722,1.20675606254578,-2.71559401102066
1.75197640238894E+018,-0.156134592247009,1.20654981262207,-2.71509926376343
1.75197640239112E+018,-0.156071019530296,1.20634356269836,-2.7146045165062
1.75197640239319E+018,-0.156007446813583,1.20613731277466,-2.71410976924896
1.75197640239534E+018,-0.15594387409687,1.20593106285095,-2.71361502199173
1.75197640239751E+018,-0.155880301380157,1.20572481292725,-2.7131202747345
